video_id,frame_id,timestamp_seconds,output_path,status,split,annotated,reviewed
video-1,video-1__f000000__t0.000,0.0,data\frames\video-1\frame_000001.png,selected,train,True,False
video-1,video-1__f000005__t0.200,0.2,data\frames\video-1\frame_000002.png,selected,train,False,False
video-1,video-1__f000010__t0.400,0.4,data\frames\video-1\frame_000003.png,selected,train,False,False
video-1,video-1__f000014__t0.600,0.6,data\frames\video-1\frame_000004.png,selected,train,False,False
video-1,video-1__f000019__t0.800,0.8,data\frames\video-1\frame_000005.png,selected,train,False,False
video-1,video-1__f000024__t1.000,1.0,data\frames\video-1\frame_000006.png,selected,train,False,False
video-1,video-1__f000029__t1.200,1.2,data\frames\video-1\frame_000007.png,selected,train,False,False
video-1,video-1__f000034__t1.400,1.4,data\frames\video-1\frame_000008.png,excluded_blurred,train,False,False
video-1,video-1__f000038__t1.600,1.6,data\frames\video-1\frame_000009.png,selected,train,False,False
video-1,video-1__f000043__t1.800,1.8,data\frames\video-1\frame_000010.png,selected,train,False,False
video-1,video-1__f000048__t2.000,2.0,data\frames\video-1\frame_000011.png,selected,train,False,False
video-1,video-1__f000053__t2.200,2.2,data\frames\video-1\frame_000012.png,selected,train,False,False
video-1,video-1__f000058__t2.400,2.4,data\frames\video-1\frame_000013.png,selected,train,True,False
video-1,video-1__f000062__t2.600,2.6,data\frames\video-1\frame_000014.png,selected,train,False,False
video-1,video-1__f000067__t2.800,2.8,data\frames\video-1\frame_000015.png,selected,train,False,False
video-1,video-1__f000072__t3.000,3.0,data\frames\video-1\frame_000016.png,selected,train,False,False
video-1,video-1__f000077__t3.200,3.2,data\frames\video-1\frame_000017.png,selected,train,False,False
video-1,video-1__f000082__t3.400,3.4,data\frames\video-1\frame_000018.png,selected,train,True,False
video-1,video-1__f000086__t3.600,3.6,data\frames\video-1\frame_000019.png,excluded_duplicate,train,False,False
video-1,video-1__f000091__t3.800,3.8,data\frames\video-1\frame_000020.png,selected,train,False,False
video-1,video-1__f000096__t4.000,4.0,data\frames\video-1\frame_000021.png,selected,train,False,False
video-1,video-1__f000101__t4.200,4.2,data\frames\video-1\frame_000022.png,selected,train,False,False
video-1,video-1__f000106__t4.400,4.4,data\frames\video-1\frame_000023.png,selected,train,True,False
video-1,video-1__f000110__t4.600,4.6,data\frames\video-1\frame_000024.png,selected,train,False,False
video-1,video-1__f000115__t4.800,4.8,data\frames\video-1\frame_000025.png,selected,train,False,False
video-1,video-1__f000120__t5.000,5.0,data\frames\video-1\frame_000026.png,selected,train,False,False
video-1,video-1__f000125__t5.200,5.2,data\frames\video-1\frame_000027.png,selected,train,False,False
video-1,video-1__f000130__t5.400,5.4,data\frames\video-1\frame_000028.png,selected,train,True,False
